machine_id,maintenance_date,maintenance_type,parts_replaced
M012,2023-07-27,Bearing replacement,Bearing
M011,2024-04-16,Coolant refill,Coolant
M013,2024-02-06,Motor inspection,Motor
M017,2023-09-28,Belt replacement,Belt
M014,2023-08-09,Motor inspection,Motor
M011,2023-10-06,Bearing replacement,Bearing
M013,2023-12-28,Belt replacement,Belt
M012,2024-03-10,Bearing replacement,Bearing
M019,2024-04-02,Sensor calibration,Sensor
M009,2023-11-09,Alignment check,Shaft
M020,2023-11-25,Coolant refill,Coolant
M018,2023-12-27,Belt replacement,Belt
M015,2023-06-13,Belt replacement,Belt
M019,2023-06-23,Belt replacement,Belt
M011,2023-12-14,Alignment check,Shaft
M002,2023-10-22,Belt replacement,Belt
M013,2023-11-18,Bearing replacement,Bearing
M004,2024-03-02,Lubrication,Lubricant
M005,2024-04-26,Coolant refill,Coolant
M005,2023-06-24,Motor inspection,Motor
M005,2024-04-28,Software update,Firmware
M013,2024-02-06,Bearing replacement,Bearing
M018,2023-08-27,Lubrication,Lubricant
M012,2023-11-09,Motor inspection,Motor
M011,2023-12-30,Lubrication,Lubricant
M005,2023-07-27,Alignment check,Shaft
M012,2023-10-01,Alignment check,Shaft
M012,2024-04-01,Bearing replacement,Bearing
M002,2023-10-04,Coolant refill,Coolant
M006,2023-08-01,Bearing replacement,Bearing
M017,2024-01-24,Alignment check,Shaft
M009,2023-08-02,Sensor calibration,Sensor
M010,2023-09-18,Software update,Firmware
M005,2024-01-21,Alignment check,Shaft
M020,2024-03-21,Software update,Firmware
M013,2024-02-18,Sensor calibration,Sensor
M010,2023-06-07,Bearing replacement,Bearing
M010,2024-03-10,Belt replacement,Belt
M007,2023-09-25,Software update,Firmware
M008,2023-05-03,Alignment check,Shaft
M018,2023-12-27,Sensor calibration,Sensor
M009,2023-09-10,Lubrication,Lubricant
M003,2024-04-19,Coolant refill,Coolant
M005,2023-06-01,Software update,Firmware
M018,2023-08-22,Motor inspection,Motor
M014,2023-11-10,Belt replacement,Belt
M014,2023-12-03,Belt replacement,Belt
M010,2023-11-04,Sensor calibration,Sensor
M013,2023-07-26,Alignment check,Shaft
M006,2023-06-13,Software update,Firmware
M008,2024-01-07,Lubrication,Lubricant
M010,2023-08-30,Alignment check,Shaft
M004,2023-09-22,Belt replacement,Belt
M017,2023-06-16,Alignment check,Shaft
M010,2024-04-16,Bearing replacement,Bearing
M004,2023-12-01,Belt replacement,Belt
M009,2024-02-23,Alignment check,Shaft
M005,2024-03-18,Coolant refill,Coolant
M018,2024-04-05,Sensor calibration,Sensor
M003,2024-03-26,Bearing replacement,Bearing
M003,2024-03-11,Software update,Firmware
M006,2024-02-17,Software update,Firmware
M014,2024-03-01,Alignment check,Shaft
M013,2023-12-16,Lubrication,Lubricant
M014,2023-12-26,Belt replacement,Belt
M001,2023-12-27,Bearing replacement,Bearing
M010,2024-04-29,Alignment check,Shaft
M011,2023-08-09,Bearing replacement,Bearing
M019,2024-02-27,Lubrication,Lubricant
M013,2024-04-01,Software update,Firmware
M018,2023-11-20,Bearing replacement,Bearing
M014,2023-08-31,Coolant refill,Coolant
M015,2024-03-07,Belt replacement,Belt
M010,2024-04-14,Bearing replacement,Bearing
M008,2023-06-30,Lubrication,Lubricant
M018,2024-03-08,Software update,Firmware
M009,2023-11-09,Motor inspection,Motor
M005,2024-02-19,Sensor calibration,Sensor
M003,2023-09-15,Belt replacement,Belt
M003,2023-07-15,Lubrication,Lubricant
M013,2024-02-11,Lubrication,Lubricant
M017,2023-12-03,Lubrication,Lubricant
M002,2024-03-27,Lubrication,Lubricant
M009,2023-10-20,Lubrication,Lubricant
M010,2023-09-18,Coolant refill,Coolant
M011,2023-09-23,Coolant refill,Coolant
M017,2023-08-14,Sensor calibration,Sensor
M014,2024-02-04,Software update,Firmware
M005,2023-09-30,Software update,Firmware
M018,2023-05-31,Software update,Firmware
M011,2024-03-29,Motor inspection,Motor
M003,2023-06-05,Software update,Firmware
M013,2024-03-26,Belt replacement,Belt
M013,2023-09-04,Coolant refill,Coolant
M003,2023-07-12,Software update,Firmware
M008,2023-10-19,Bearing replacement,Bearing
M006,2023-11-06,Coolant refill,Coolant
M011,2023-11-17,Alignment check,Shaft
M002,2023-06-08,Software update,Firmware
M005,2023-09-28,Bearing replacement,Bearing
